old_circuit_id,new_circuit_id,tipo,status,final_status,modem,plan,mac_address,city,latitude,longitude,state,terminal_id,created_at,terminated_at
MGSI001286,MGSI001286,indigena,Will Not Migrate,Bloqueados,SB2PLUSMODEM,0034-GESAC Brasil WiFi,00A0BCA89588,São João das Missões,-14.884519577026367,-44.09138107299805,MG,FTB-016516,2022-03-25,2027-03-25
MSSI000340,MSSF000076,indigena,Migração,Ativo,SB2PLUSMODEM,0039-GESAC2 200 (SB2+),00A0BCA1B7BC,,-23.891529083251957,-54.40447998046875,MS,FTB-016618,2022-03-31,2027-03-31
TOSI000309,TOSF000012,indigena,Migração,Ativo,SB2PLUSMODEM,0039-GESAC2 200 (SB2+),00A0BC946D64,Itacajá,-8.491602897644043,-47.47775650024414,TO,FTB-019783,2022-05-31,2027-05-31
TOSI000278,TOSF000010,indigena,Migração,Ativo,SB2PLUSMODEM,0039-GESAC2 200 (SB2+),00A0BCAE1300,Itacajá,-8.391951560974121,-47.7721061706543,TO,FTB-019784,2022-05-31,2027-05-31
TOSI000276,TOSF000008,indigena,Migração,Ativo,SB2PLUSMODEM,0039-GESAC2 200 (SB2+),00A0BC9EDA0C,Itacajá,-8.495431900024414,-47.675689697265625,TO,FTB-020349,2022-06-15,2027-06-15
TOSI000275,TOSF000007,indigena,Migração,Ativo,SB2PLUSMODEM,0039-GESAC2 200 (SB2+),00A0BC941958,Itacajá,-8.51893424987793,-47.37818908691406,TO,FTB-019785,2022-05-31,2027-05-31
TOSI000274,TOSF000006,indigena,Migração,Ativo,SB2PLUSMODEM,0039-GESAC2 200 (SB2+),00A0BC8E3EC0,Itacajá,-8.476332664489746,-47.56356430053711,TO,FTB-019786,2022-05-31,2027-05-31
TOSI000279,TOSF000011,indigena,Migração,Ativo,SB2PLUSMODEM,0039-GESAC2 200 (SB2+),00A0BCA4CB44,Itacajá,-8.538786888122559,-47.510990142822266,TO,FTB-019759,2022-05-31,2027-05-31
TOSI000277,TOSF000009,indigena,Migração,Ativo,SB2PLUSMODEM,0039-GESAC2 200 (SB2+),00A0BCA8BD74,Itacajá,-8.689745903015137,-47.4804573059082,TO,FTB-019788,2022-05-31,2027-05-31
MASI002536,MASI002536,indigena,Will Not Migrate,Bloqueados,SB2PLUSMODEM,0017-Telebras SB2+ - 10Mbps,00A0BCA16D74,Barra do Corda,-5.506470203399658,-45.24338150024414,MA,FTB-018673,2022-05-15,2027-05-15
PESI000984,PESF000164,indigena,Migração,Ativo,SB2PLUSMODEM,0039-GESAC2 200 (SB2+),00A0BC9423A0,Pesqueira,-8.33214282989502,-36.75221252441406,PE,FTB-017022,2022-04-14,2027-04-14
MSSI000343,MSSF000014,indigena,Migração,Ativo,SB2PLUSMODEM,0042-GESAC2 400 WIFI (SB2+),00A0BC9E6724,Japorã,-23.891529083251957,-54.40447998046875,MS,FTB-017928,2022-05-04,2027-05-04
MGSI001269,MGSF000859,indigena,Migração,Ativo,SB2PLUSMODEM,0039-GESAC2 200,00A0BCA89D78,São João das Missões,-14.884519577026367,-44.09138107299805,MG,FTB-017600,2022-04-27,2027-04-27
